epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9241,1.02307,1.29417,1.14006,0.96628,0.63669,0.86323,0.52181,1.2868,2.04227,1.33511,0.0677934,0.000657277,0.000657277
2,78.6162,0.99063,0.82242,1.17007,0.95222,0.90647,0.94313,0.68287,0.9238,0.77356,1.16955,0.0349957,0.00119287,0.00119287
3,141.759,1.00478,0.76755,1.14456,0.77101,0.70144,0.80766,0.58197,0.94745,1.56331,1.18019,0.00206595,0.00159647,0.00159647
4,204.582,0.95864,0.6965,1.11247,0.92323,0.92086,0.95277,0.71105,0.90653,0.65135,1.15557,0.001406,0.001406,0.001406
5,277.305,0.91583,0.66842,1.13739,0.93907,0.94241,0.96348,0.72976,0.86322,0.60004,1.10115,0.001208,0.001208,0.001208
6,385.692,0.86603,0.63717,1.0847,0.93036,0.94245,0.95528,0.71715,0.87463,0.57904,1.10302,0.00101,0.00101,0.00101
7,525.38,0.86513,0.60551,1.08186,0.9558,0.92446,0.95851,0.7362,0.87182,0.55503,1.11363,0.000812,0.000812,0.000812
8,673.251,0.83842,0.57124,1.05989,0.95958,0.93165,0.97281,0.74237,0.85186,0.50551,1.10357,0.000614,0.000614,0.000614
9,829.79,0.84114,0.55645,1.06944,0.96603,0.93525,0.96683,0.73898,0.86262,0.5099,1.10865,0.000416,0.000416,0.000416
10,996.307,0.8247,0.53269,1.06712,0.95516,0.93885,0.96411,0.73774,0.84664,0.50127,1.10536,0.000218,0.000218,0.000218
